name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bandung, Indonesia",2019-05-10,28.9,22.1,25.2,31,22.1,25.9,22.5,85.6,16.906,100,8.33,rain,0,0,,22.7,121.6,,80.1,5.5,250.1,21.8,9,,2019-05-10T05:51:13,2019-05-10T17:40:42,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-11,27.7,21.1,25,30.4,21.1,25.5,22.5,86,92.488,100,8.33,rain,0,0,,24.1,111.4,,72.2,5.9,221.7,19.1,8,,2019-05-11T05:51:19,2019-05-11T17:40:32,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-12,29.8,21.2,25.1,31.8,21.2,25.8,22.5,86,25.901,100,16.67,rain,0,0,,23.4,121.9,,64.6,6.3,223.7,19.3,8,,2019-05-12T05:51:26,2019-05-12T17:40:22,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-13,27.4,21.9,25.2,30.3,21.9,25.8,22.6,85.7,3.978,100,8.33,rain,0,0,,24.5,121.7,,61.3,6.6,235.6,20.4,8,,2019-05-13T05:51:33,2019-05-13T17:40:14,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-14,27.9,21.4,25.2,31.5,21.4,25.9,22.7,86.6,2.983,100,4.17,rain,0,0,,22.3,115.2,,62.2,5.4,217.7,18.9,8,,2019-05-14T05:51:40,2019-05-14T17:40:06,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-15,27.8,20.7,25.1,31.3,20.7,25.9,22.7,86.9,31.965,100,12.5,rain,0,0,,23,113.1,,65.1,4.6,216.1,18.8,8,,2019-05-15T05:51:48,2019-05-15T17:39:58,0.37,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-16,28.9,21.2,24.9,32.3,21.2,25.5,22,84.7,31.823,100,4.17,rain,0,0,,25.8,120.5,,69.6,5.1,206.3,17.8,7,,2019-05-16T05:51:56,2019-05-16T17:39:52,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-17,30,20.9,24.6,31.2,20.9,25,21,81.2,0,0,0,,0,0,,18.7,121.5,,66.1,7.5,245.7,21.2,9,,2019-05-17T05:52:04,2019-05-17T17:39:46,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-18,27.9,20.1,24.3,29.8,20.1,24.8,20.6,80.6,0,0,0,,0,0,,20.4,110,,58,6,264,22.9,9,,2019-05-18T05:52:13,2019-05-18T17:39:41,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-19,28.4,19.9,25,30.5,19.9,25.6,21.6,82.2,1.1,100,16.67,rain,0,0,,27.6,121.7,,52.3,5.4,248.5,21.4,9,,2019-05-19T05:52:23,2019-05-19T17:39:37,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-20,27.7,21.1,24.8,30.6,21.1,25.3,22.5,87.3,10.939,100,4.17,rain,0,0,,20.2,119.3,,81.8,5.3,195.9,17,8,,2019-05-20T05:52:32,2019-05-20T17:39:33,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-21,29.2,20.1,25.4,31.6,20.1,26.1,22.3,83.8,3.2,100,37.5,rain,0,0,,24.1,114.9,,73.7,6.8,218.6,18.9,8,,2019-05-21T05:52:43,2019-05-21T17:39:30,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-22,28.1,19.9,25.3,31.6,19.9,26.1,22.4,84.4,0.143,100,4.17,rain,0,0,,22.7,109.7,1010,80.5,7.4,230.9,20,8,,2019-05-22T05:52:53,2019-05-22T17:39:28,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-23,29.4,20.1,25,31.1,20.1,25.6,21.5,82.3,0.095,100,4.17,rain,0,0,,20.5,111.4,,64.5,7.7,250.9,21.5,9,,2019-05-23T05:53:04,2019-05-23T17:39:26,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-24,29.9,20.7,25.2,30.8,20.7,25.7,21.2,80.4,0.2,100,8.33,rain,0,0,,24.5,106.7,,63.7,7,250.7,21.7,9,,2019-05-24T05:53:15,2019-05-24T17:39:25,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-25,28.1,21.1,24.5,30.3,21.1,24.9,21.2,82.5,6.961,100,4.17,rain,0,0,,23,105.7,,65.9,6.3,259.5,22.4,9,,2019-05-25T05:53:27,2019-05-25T17:39:25,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-26,28.1,21.1,24.5,30.3,21.1,25,21.4,84,6.961,100,4.17,rain,0,0,,18.7,116.3,,49.7,6.7,253.4,21.8,9,,2019-05-26T05:53:38,2019-05-26T17:39:25,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-27,28.1,21.1,24.8,30.9,21.1,25.4,22.2,85.6,0.997,100,4.17,rain,0,0,,19.8,115.2,,65.4,5.3,229.6,20,8,,2019-05-27T05:53:51,2019-05-27T17:39:26,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-28,28.2,20.2,24.8,31.5,20.2,25.6,22.4,86.9,28.84,100,4.17,rain,0,0,,55.1,129.1,,60.5,5.9,229.4,19.8,8,,2019-05-28T05:54:03,2019-05-28T17:39:28,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
